product_id,title,brand,category,subcategory,price,original_price,rating,review_count,ram,storage,processor,gpu,display,battery_life,os,weight,use_cases,features,description,image_url
LAP_011,"Lenovo IdeaPad 1 (AMD Ryzen 3 7320U / 8GB LPDDR5 / 512GB SSD / AMD Radeon 610M / 15.6"" FHD / Win 11 / 1.58kg)",Lenovo,Laptop,Budget Student Everyday,32990,44990,4.1,1420,8GB LPDDR5,512GB NVMe SSD,AMD Ryzen 3 7320U,AMD Radeon 610M Graphics,15.6 inch FHD Anti-Glare 220 nits,7 hours (42Whr),Windows 11 Home,1.58 kg,"budget_student, college_work, zoom_classes, web_browsing, basic_python, ms_office","Fast NVMe SSD, Dolby Audio speakers, privacy shutter webcam, lightweight portable chassis","Ideal entry-level laptop for college freshmen and everyday academics. Swift SSD responsiveness for web research, assignments, Zoom calls, and introductory Python programming at a budget-friendly price point.",https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?w=500&q=80
LAP_012,"ASUS Vivobook Go 15 (13th Gen Intel Core i3-N305 / 8GB DDR4 / 512GB SSD / 15.6"" FHD / Win 11 / 1.63kg)",ASUS,Laptop,Budget Student Laptop,35990,49990,4.2,1180,8GB DDR4,512GB NVMe SSD,"Intel Core i3-N305 (8 Cores, 8 Threads)",Intel UHD Graphics,15.6 inch FHD 250 nits Anti-Glare,6.5 hours (42Whr),Windows 11 Home,1.63 kg,"college_work, student_budget, basic_coding, online_classes, document_editing","180-degree lay-flat hinge, ASUS Antibacterial Guard, fast charging (60% in 49 min), AI noise-canceling mic","Efficient 8-core Core i3-N305 laptop built for student multitasking, document preparation, and basic scripting. Designed with antimicrobial protection and lay-flat hinge for group study sessions.",https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=500&q=80
LAP_013,"HP 255 G9 (AMD Ryzen 5 5625U 6-Core / 8GB RAM / 512GB SSD / AMD Radeon / 15.6"" FHD / 1.74kg)",HP,Laptop,Budget Business & Coding,38990,52990,4.3,940,8GB DDR4 (Upgradable to 32GB),512GB NVMe SSD,"AMD Ryzen 5 5625U (6 Cores, 12 Threads)",AMD Radeon Graphics,15.6 inch FHD Anti-Glare,7.5 hours (41Whr),Windows 11 Home,1.74 kg,"coding, python, college_work, budget_student, multitasking, c_plus_plus, java","6-core Ryzen 5 performance under 40k, upgradable dual-channel RAM slots, sturdy commercial build","Exceptional computing power under 40,000 INR featuring 6-core Ryzen 5. An open RAM slot allows upgrading to 16GB or 32GB, making it a future-proof budget programming rig for engineering students.",https://images.unsplash.com/photo-1593642632823-8f785ba67e45?w=500&q=80
LAP_014,"Apple MacBook Air M2 (Apple M2 Chip 8-Core CPU, 8-Core GPU / 8GB Unified RAM / 256GB SSD / 13.6"" Liquid Retina / Midnight / 1.24kg)",Apple,Laptop,Premium Ultrabook & Development,89990,99900,4.8,4890,8GB Unified Memory,256GB SSD,"Apple M2 (8-Core CPU with 4 performance & 4 efficiency cores, 16-core Neural Engine)",Apple 8-Core GPU,13.6 inch Liquid Retina Display with True Tone (500 nits),18 hours (52.6Whr),macOS Sonoma,1.24 kg,"coding, python, web_development, ios_development, college_work, lightweight, battery_life, travel","Class-leading 18-hour battery life, silent fanless thermal design, MagSafe 3 charging, 1080p FaceTime HD camera","The gold standard for portable developer laptops. The Apple M2 silicon delivers blazing performance per watt, silent fanless operation, and unprecedented 18-hour battery longevity for coding, college lectures, and web development.",https://images.unsplash.com/photo-1611186871348-b1ce696e52c9?w=500&q=80
LAP_015,"Apple MacBook Air M3 (Apple M3 Chip 8-Core CPU, 10-Core GPU / 16GB Unified RAM / 512GB SSD / 13.6"" Liquid Retina / Space Grey)",Apple,Laptop,Premium Developer & Machine Learning,124990,134900,4.9,1820,16GB Unified Memory,512GB SSD,"Apple M3 (8-Core CPU, 16-Core Neural Engine)",Apple 10-Core GPU with Hardware Ray Tracing & Dynamic Caching,"13.6 inch Liquid Retina (500 nits, P3 Wide Color)",18 hours,macOS Sonoma,1.24 kg,"machine_learning, python, data_science, ios_swift, web_development, college, premium","16GB Unified Memory for local ML model execution (LLaMA/Mistral via MPS/Ollama), M3 hardware ray tracing, dual external display support","Configured with 16GB unified memory to effortlessly run local LLMs, PyTorch MPS acceleration, Docker containers, and iOS Xcode development. Combines sublime portability with unmatched energy efficiency.",https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=500&q=80
LAP_016,"Lenovo Legion Pro 5 (Intel 14th Gen Core i7-14650HX / 32GB DDR5 / 1TB SSD / RTX 4070 8GB 140W / 16"" WQXGA 240Hz 500 nits)",Lenovo,Laptop,Flagship AI & Deep Learning Workstation,154990,189990,4.7,870,32GB DDR5 (5600MHz),1TB Gen4 NVMe SSD,"Intel Core i7-14650HX (16 Cores, 24 Threads)",NVIDIA GeForce RTX 4070 8GB GDDR6 (140W TGP),16.0 inch WQXGA (2560x1600) 240Hz 500 nits 100% sRGB HDR400,"5.5 hours (80Whr, 300W Slim Adapter)",Windows 11 Home,2.5 kg,"deep_learning, machine_learning, heavy_ai_research, 3d_rendering, 4k_editing, competitive_gaming","Massive 32GB DDR5 RAM, full-powered 140W RTX 4070 GPU for training transformers and diffusion models, Legion Coldfront 5.0 vapor chamber cooling",Heavy-duty AI and data science powerhouse with 32GB DDR5 and NVIDIA RTX 4070. Tailored for researchers and engineering students training deep convolutional and transformer neural networks locally with maximum CUDA throughput.,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=500&q=80
LAP_017,"ASUS ROG Zephyrus G14 (AMD Ryzen 9 8945HS / 16GB LPDDR5X / 1TB SSD / RTX 4060 8GB / 14"" 3K 120Hz OLED / 1.5kg)",ASUS,Laptop,Ultra-Premium Portable Workstation,149990,178990,4.8,640,16GB LPDDR5X,1TB NVMe SSD,AMD Ryzen 9 8945HS with Ryzen AI (Up to 39 NPU TOPS),NVIDIA GeForce RTX 4060 8GB GDDR6,14.0 inch 3K (2880x1800) OLED 120Hz 0.2ms 500 nits 100% DCI-P3,8.5 hours (73Whr),Windows 11 Home,1.5 kg,"machine_learning, python, data_science, gaming, coding, content_creation, premium_travel","CNC-machined aluminum chassis weighing just 1.5kg, gorgeous 3K ROG Nebula OLED display, Ryzen AI NPU + RTX 4060 GPU",The pinnacle of portability and horsepower. Encases a dedicated 8GB RTX 4060 GPU and AI-accelerated Ryzen 9 processor inside a razor-thin 1.59cm CNC aluminum body with a breathtaking 3K OLED screen.,https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=500&q=80
PHN_001,"OnePlus 12R (16GB RAM, 256GB Storage, Snapdragon 8 Gen 2, 1.5K 120Hz ProXDR AMOLED, 5500mAh, 100W SUPERVOOC)",OnePlus,Smartphone,Flagship Killer & Performance,45999,49999,4.6,5420,16GB LPDDR5X,256GB UFS 3.1,Snapdragon 8 Gen 2 (4nm),Adreno 740,6.78 inch 1.5K 120Hz LTPO4 ProXDR AMOLED (4500 nits peak),"1.5 days (5500mAh, 100W Fast Charge 0-100% in 26 mins)",OxygenOS 14 (Android 14),207 g,"gaming, photography, heavy_multitasking, fast_charging, battery_life, daily_driver","Snapdragon 8 Gen 2 flagship chip, industry-leading 5500mAh battery, 100W lightning charger in box, 16GB RAM","High-octane smartphone delivering flagship Snapdragon performance, colossal 5500mAh battery with 100W flash charging, and a crystal-clear 1.5K 120Hz LTPO display at an attractive price.",https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=500&q=80
PHN_002,"Nothing Phone (2a) (8GB RAM, 128GB Storage, Dimensity 7200 Pro 5G, 120Hz Flexible AMOLED, 50MP Dual Camera)",Nothing,Smartphone,Design & Midrange Value,23999,25999,4.4,3890,8GB RAM,128GB Storage,MediaTek Dimensity 7200 Pro (4nm),Mali-G610 MC4,6.7 inch FHD+ Flexible AMOLED 120Hz (1300 nits peak),"1.5 days (5000mAh, 45W charging)",Nothing OS 2.5 (Clean Bloat-free Android 14),190 g,"clean_software, daily_use, photography, college_student, budget_phone, social_media","Iconic transparent Glyph interface, bloatware-free Nothing OS, dual 50MP flagship cameras, symmetrical slim bezels","A breath of fresh air in the mid-range smartphone segment. Delivers an iconic transparent design with Glyph notification lights, smooth bloatware-free software, and capable dual 50MP cameras.",https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=500&q=80
PHN_003,"Apple iPhone 15 (128GB, Dynamic Island, 48MP Main Camera with 2x Telephoto, A16 Bionic, USB-C / Black)",Apple,Smartphone,Premium Flagship,70999,79900,4.7,8900,6GB RAM,128GB NVMe,Apple A16 Bionic (4nm),Apple 5-Core GPU,6.1 inch Super Retina XDR OLED (2000 nits peak outdoor),All-day battery life (Up to 20 hours video),iOS 17,171 g,"photography, 4k_cinematic_video, premium, ios_ecosystem, compact, social_media_creation","Dynamic Island, 48MP main camera with sensor-shift OIS, USB-C connector, color-infused glass back, Ceramic Shield front","Equipped with the Dynamic Island, an advanced 48MP sensor with lossless 2x zoom, USB-C connectivity, and the reliable A16 Bionic chip. Provides unmatched video recording fidelity and seamless Apple ecosystem synergy.",https://images.unsplash.com/photo-1592750475338-74b7b21085ab?w=500&q=80
PHN_004,"Google Pixel 8a (8GB RAM, 128GB Storage, Google Tensor G3 AI Chip, Best-in-Class AI Camera, 7 Years OS Updates)",Google,Smartphone,AI Smartphone & Photography,49999,52999,4.5,2240,8GB LPDDR5X,128GB UFS 3.1,Google Tensor G3 (Custom AI Coprocessor),Immortalis-G715s MC10,6.1 inch Actua OLED 120Hz (2000 nits peak),"24+ hours (4492mAh, Wireless Charging)",Android 14 (Guaranteed 7 Years Updates),188 g,"computational_photography, generative_ai, clean_android, long_term_support, compact","Google Tensor G3 with on-device Gemini Nano AI, Magic Editor, Best Take, Audio Magic Eraser, 7 years of Android upgrades","The ultimate pocket AI companion. Powered by Google Tensor G3 with on-device Gemini Nano, delivering unmatched computational photography, generative photo editing features, and guaranteed 7 years of OS updates.",https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=500&q=80
PHN_005,"Redmi Note 13 Pro+ 5G (12GB RAM, 256GB Storage, 200MP OIS Camera, Curved 1.5K 120Hz AMOLED, IP68, 120W HyperCharge)",Xiaomi,Smartphone,Midrange All-Rounder,31999,35999,4.3,4500,12GB LPDDR5,256GB UFS 3.1,MediaTek Dimensity 7200 Ultra,Mali-G610 MC4,6.67 inch 1.5K 3D Curved AMOLED 120Hz (1800 nits),"1 day (5000mAh, 120W HyperCharge in 19 mins)",Xiaomi HyperOS (Android 14),204 g,"camera_photography, fast_charging, multimedia_streaming, gaming, stylish_curved_display","200MP Samsung ISOCELL sensor with OIS, IP68 water/dust resistance, curved 1.5K screen, 120W charger in box","Packed with flagship features under 32000, including a 200MP OIS camera, IP68 water resistance rating, a luxurious curved 1.5K AMOLED panel, and 120W lightning-fast charging.",https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=500&q=80
PHN_006,"Samsung Galaxy S23 FE 5G (8GB RAM, 128GB Storage, Flagship 50MP Nightography Camera, 120Hz Dynamic AMOLED 2X, IP68)",Samsung,Smartphone,Premium Value Flagship,39999,59999,4.4,6120,8GB LPDDR5,128GB UFS 3.1,Samsung Exynos 2200 (4nm) / Snapdragon 8 Gen 1,Xclipse 920 (AMD RDNA2 Architecture),6.4 inch Dynamic AMOLED 2X 120Hz HDR10+ (1450 nits),"1 day (4500mAh, 25W Fast Charging, Wireless Charging)",One UI 6.1 with Galaxy AI (Android 14),209 g,"galaxy_ai, premium_flagship_feel, photography, display_quality, wireless_charging, longevity","Galaxy AI suite (Circle to Search, Live Translate), IP68 water resistance, Samsung DeX desktop mode, 3x optical telephoto lens","Access Samsung flagship experiences and Galaxy AI at an accessible price. Features an exquisite Dynamic AMOLED 2X display, premium glass/aluminum build, optical 3x zoom camera, and wireless charging.",https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?w=500&q=80
AUD_001,"Sony WH-1000XM5 Wireless Industry-Leading Noise Cancelling Headphones (Auto NC Optimizer, 30hr Battery, Hi-Res Audio / Black)",Sony,Headphones,Over-Ear ANC Flagship,28990,34990,4.7,7820,N/A,N/A,Sony Integrated Processor V1 + HD Noise Cancelling QN1,N/A,N/A,30 hours with ANC (3 min quick charge for 3 hours),Sony Headphones Connect (iOS/Android/Windows/Mac),250 g,"study, focus, coding, noise_cancellation, commute, long_flights, audiophile, online_meetings","Industry-leading Active Noise Cancellation with 8 microphones, LDAC Hi-Res Audio, multipoint connection for 2 devices, Speak-to-Chat","The ultimate focus and study headphones. Dual noise-canceling processors silence library distractions, cafe chatter, and commute noise, while LDAC codec provides pristine high-resolution audio fidelity for music and coding sessions.",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500&q=80
AUD_002,"Sony WH-CH720N Wireless Over-Ear Active Noise Cancelling Headphones (Dual Noise Sensor, 35hr Battery, Lightweight 192g)",Sony,Headphones,Budget Over-Ear ANC,8990,14990,4.4,4200,N/A,N/A,Sony Integrated Processor V1,N/A,N/A,35 hours with ANC ON (50 hours with ANC OFF),Compatible with all Bluetooth devices,192 g,"study, college_budget, focus, online_classes, long_commute, lightweight_comfort","Sony V1 processor noise cancellation, ultra-light 192g ergonomic design, 35-hour battery life, multipoint Bluetooth connection","Remarkable noise-canceling value under 10000. Weighing just 192g, these are Sony's lightest overhead noise-canceling headphones, allowing students to study and code in deep focus for hours without ear fatigue.",https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=500&q=80
AUD_003,"Bose QuietComfort 45 Bluetooth Wireless Noise Cancelling Headphones (Iconic Comfort, Aware Mode, 24hr Battery / Triple Black)",Bose,Headphones,Over-Ear ANC Comfort,22990,29900,4.6,3890,N/A,N/A,Bose Digital Signal Processing,N/A,N/A,24 hours on single charge (15 min charge = 3 hours),Bose Music App (iOS/Android),240 g,"study, coding, travel, ultimate_comfort, zoom_calls, noise_cancellation","Legendary plush ear cushion comfort, TriPort acoustic architecture, simple physical control buttons, Aware Mode transparency",Renowned across the globe for plush cloud-like comfort and silence. Perfect for software developers and students pulling long hours at desks who prioritize physical comfort alongside top-tier noise isolation.,https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=500&q=80
AUD_004,"Apple AirPods Pro (2nd Generation) with MagSafe Case USB-C (2x Active Noise Cancellation, Adaptive Audio, Personalized Spatial Audio)",Apple,Headphones,In-Ear ANC Flagship,20990,24900,4.8,9100,N/A,N/A,Apple H2 Headphone Chip,N/A,N/A,6 hours listening on single charge (30 hours with case),iOS / macOS / Windows / Android compatible,50.8 g (with case),"study, apple_ecosystem, gym_running, pocketable, calls, spatial_audio, commute","Apple H2 silicon, industry-best transparency mode, Adaptive Audio, touch volume swipe control, IP54 dust/water resistance","Compact, pocketable audio mastery powered by Apple H2 chip. Features unmatched natural transparency mode, 2x stronger active noise cancellation, and seamless automatic switching across Mac, iPad, and iPhone.",https://images.unsplash.com/photo-1600294037681-c80b4cb5b434?w=500&q=80
AUD_005,"OnePlus Buds Pro 2 (Smart Adaptive Noise Cancellation 48dB, Dynaudio Dual Drivers, LHDC 4.0 Hi-Res, 39hr Battery)",OnePlus,Headphones,In-Ear ANC Value Flagship,8999,11999,4.5,3410,N/A,N/A,Bespoke Audio DSP,N/A,N/A,9 hours per bud (39 hours with charging case),HeyMelody app / OxygenOS integration,47.3 g (with case),"workout, study, high_res_music, budget_audiophile, calls, commute","Co-created with Dynaudio, 48dB adaptive noise cancellation, spatial audio with head tracking, Qi wireless charging","Delivers audiophile-grade dual acoustic drivers tuned by Dynaudio, strong 48dB adaptive noise cancellation, and low latency for under 9000 INR.",https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=500&q=80
AUD_006,"boAt Rockerz 550 Over-Ear Wireless Bluetooth Headphone (50mm Dynamic Drivers, 20hr Playtime, Physical Noise Isolation / Black)",boAt,Headphones,Super-Budget Over-Ear,1799,4999,4.1,12800,N/A,N/A,Standard Bluetooth Audio chip,N/A,N/A,20 hours non-stop playback,Universal Bluetooth 5.0,245 g,"budget_student, casual_music, online_classes, movies, gym, entry_level","Massive 50mm bass drivers, ergonomic soft earcups, dual connectivity (Bluetooth + AUX cable), 20-hour battery","Super-affordable over-ear headphones with deep punchy bass, dual wireless/wired options, and comfortable cushions for student budgets under 2000 INR.",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500&q=80
TAB_001,"Apple iPad (10th Generation) (A14 Bionic Chip, 10.9"" Liquid Retina, 64GB, Wi-Fi 6, USB-C / Silver)",Apple,Tablet,Student & Productivity Tablet,34900,39900,4.7,6700,4GB RAM,64GB Storage,"Apple A14 Bionic (6-Core CPU, 4-Core GPU, 16-Core Neural Engine)",Apple 4-Core GPU,10.9 inch Liquid Retina Display True Tone (500 nits),10 hours web/video,iPadOS 17,477 g,"digital_notes, drawing, pdf_reading, college_lectures, media_consumption, zoom","Landscape 12MP Ultra-Wide camera with Center Stage, Apple Pencil 1st Gen & USB-C support, Magic Keyboard Folio support","The premier tablet for college students replacing paper notebooks. Ideal for annotating lecture slides, handwritten math equations, reading research PDFs, and streaming education content.",https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=500&q=80
TAB_002,"Samsung Galaxy Tab S9 FE (10.9"" 90Hz Display, Exynos 1380, 6GB RAM, 128GB Storage, S-Pen Included in Box, IP68)",Samsung,Tablet,Student Android Tablet with Pen,32999,44999,4.5,2890,6GB RAM,128GB Storage (MicroSD expandable up to 1TB),Samsung Exynos 1380 (5nm),Mali-G68 MP5,10.9 inch 90Hz WQXGA Display (2304x1440),"13 hours (8000mAh, 45W Fast Charging)",One UI 6.0 with Samsung DeX (Android 14),523 g,"note_taking, pdf_annotation, s_pen_drawing, college_study, samsung_dex_multitasking","S-Pen stylus included inside retail box, IP68 water & dust resistance, Samsung DeX desktop mode, 90Hz smooth screen","Complete student package with magnetic S-Pen included at no extra cost. Boasts IP68 water resistance, crisp 90Hz display, and Samsung DeX mode for a PC-like multi-window productivity workflow.",https://images.unsplash.com/photo-1561154464-82e9adf32764?w=500&q=80
